domain,method,seen,unseen,H-mean
proud -> old,our_GRE,72.92 ± 10.42,25.36 ± 11.35,27.96 ± 12.73
proud -> old,TUPL,95.32 ± 3.13,54.60 ± 5.58,68.91 ± 4.93
proud -> old,our_TUPL_interp_src2tgt,88.54 ± 3.76,34.55 ± 6.19,47.59 ± 7.34
proud -> strutting,base,69.72 ± 9.72,25.00 ± 11.18,29.18 ± 13.18
proud -> strutting,VisTA,58.33 ± 15.37,30.86 ± 11.02,23.91 ± 10.87
proud -> strutting,CCVAE,66.67 ± 10.54,24.47 ± 10.94,27.44 ± 12.51
proud -> strutting,our_GRE,64.58 ± 11.37,30.64 ± 14.60,28.08 ± 12.78
proud -> strutting,TUPL,96.42 ± 2.34,41.97 ± 10.39,53.71 ± 12.10
proud -> strutting,our_TUPL_interp_src2tgt,96.25 ± 1.85,60.50 ± 14.93,69.03 ± 12.88
strutting -> angry,base,66.67 ± 10.54,45.66 ± 12.38,44.84 ± 9.62
strutting -> angry,VisTA,60.63 ± 12.43,42.60 ± 10.12,38.04 ± 8.35
strutting -> angry,CCVAE,66.67 ± 10.54,35.89 ± 14.11,36.74 ± 10.64
strutting -> angry,our_GRE,61.43 ± 9.37,50.00 ± 12.91,44.71 ± 9.14
strutting -> angry,TUPL,98.13 ± 1.20,41.31 ± 12.38,52.91 ± 12.39
strutting -> angry,our_TUPL_interp_src2tgt,96.31 ± 1.77,46.46 ± 6.30,61.68 ± 5.28
strutting -> childlike,base,66.67 ± 10.54,38.93 ± 12.34,40.21 ± 9.01
strutting -> childlike,VisTA,54.51 ± 10.30,33.85 ± 7.22,35.04 ± 5.09
strutting -> childlike,CCVAE,63.54 ± 8.90,32.72 ± 13.70,33.80 ± 9.38
strutting -> childlike,our_GRE,55.21 ± 10.00,47.96 ± 12.65,39.54 ± 8.07
strutting -> childlike,TUPL,94.44 ± 3.67,33.50 ± 7.79,46.19 ± 8.35
strutting -> childlike,our_TUPL_interp_src2tgt,85.76 ± 6.53,38.02 ± 9.77,47.73 ± 8.72
strutting -> depressed,base,65.27 ± 10.41,22.62 ± 12.00,23.34 ± 10.66
strutting -> depressed,VisTA,40.12 ± 14.25,43.24 ± 9.70,23.94 ± 9.11
strutting -> depressed,CCVAE,63.60 ± 9.38,23.17 ± 12.45,23.41 ± 10.73
strutting -> depressed,our_GRE,56.40 ± 9.36,30.68 ± 15.14,24.80 ± 9.80
strutting -> depressed,TUPL,93.67 ± 2.29,18.39 ± 5.87,28.61 ± 7.73
strutting -> depressed,our_TUPL_interp_src2tgt,89.90 ± 3.94,32.05 ± 6.46,45.74 ± 7.12
strutting -> neutral,base,66.67 ± 10.54,47.22 ± 12.49,45.44 ± 9.54
strutting -> neutral,VisTA,42.58 ± 7.31,48.08 ± 8.93,38.66 ± 6.03
strutting -> neutral,CCVAE,66.67 ± 10.54,41.36 ± 13.01,41.68 ± 9.37
strutting -> neutral,our_GRE,55.71 ± 10.66,48.15 ± 12.70,38.98 ± 8.29
strutting -> neutral,TUPL,95.64 ± 3.53,20.55 ± 5.72,32.08 ± 7.67
strutting -> neutral,our_TUPL_interp_src2tgt,92.05 ± 4.25,65.22 ± 7.24,74.28 ± 3.42
strutting -> old,base,68.96 ± 9.41,9.68 ± 5.29,13.58 ± 6.69
strutting -> old,VisTA,45.14 ± 10.22,30.69 ± 11.20,23.09 ± 6.39
strutting -> old,CCVAE,66.88 ± 8.50,10.62 ± 5.12,15.06 ± 6.92
strutting -> old,our_GRE,60.42 ± 8.18,30.41 ± 13.33,30.37 ± 10.54
strutting -> old,TUPL,87.50 ± 2.90,38.63 ± 7.21,50.89 ± 8.26
strutting -> old,our_TUPL_interp_src2tgt,85.02 ± 4.79,26.68 ± 7.25,37.69 ± 9.19
strutting -> proud,base,75.00 ± 11.18,37.50 ± 13.31,39.63 ± 9.24
strutting -> proud,VisTA,61.11 ± 14.34,35.98 ± 9.72,31.46 ± 7.52
strutting -> proud,CCVAE,66.67 ± 10.54,28.95 ± 15.51,27.52 ± 12.62
strutting -> proud,our_GRE,64.58 ± 9.36,49.12 ± 12.92,46.13 ± 9.70
strutting -> proud,TUPL,98.96 ± 1.04,44.60 ± 13.04,56.24 ± 12.01
strutting -> proud,our_TUPL_interp_src2tgt,93.75 ± 3.53,49.12 ± 7.65,62.93 ± 6.37
